electrode,muscle,lf_absE,lf_median,lf_min,lf_max,envelope_db,lf_pca,pca_dominance,fibre_model,n_elements
cg09,platysma,0.25362640461180425,0.10693876835507252,0.03706271459264602,0.2089878221273732,15.02367509834781,,,isotropic,37401
cg09,sternocleidomastoid,0.3407096230097243,0.14223393235940868,0.048166221913893255,0.23155321508600762,13.638164665003723,0.18599762071066192,1.724,pca,45844
cg10,masseter,0.2917475997882987,0.13464483827410412,0.10044939659644048,0.202466663294896,6.088123867247375,,,isotropic,32633
cg10,temporalis,0.22401715432966351,0.10789089520603617,0.043187257284571304,0.18187270223063715,12.488237911066884,,,isotropic,200000
cg10,medial_pterygoid,0.2918079400969795,0.13615170448212377,0.07225583283146085,0.18899609660638841,8.35159847017528,0.17683954730532397,2.536,pca,18993
cg10,lateral_pterygoid,0.24111810654347227,0.11453683576320806,0.054387878390715724,0.21848794286278175,12.078507157066255,,,isotropic,16134
cg10,orbicularis_oris,0.2659749484994579,0.12532432619254685,0.03187769296889262,0.2280489705938828,17.09082465596332,,,isotropic,25336
cg10,buccinator,0.3254762961776069,0.15294731427867797,0.03459423104168218,0.2794057006926589,18.14463162335214,,,isotropic,17789
cg10,mentalis,0.1396280793394888,0.07179868720162505,0.012054368091151088,0.11954118375112957,19.927462063736634,0.1151818716537676,2.174,pca,3226
cg10,depressor_anguli_oris,0.238878333839624,0.12508140863908343,0.037512938321597036,0.17186692002451,13.220224223643893,,,isotropic,13347
cg10,platysma,0.2551905800030303,0.11085187437169064,0.03537456963193035,0.2091810911450944,15.436625182798092,,,isotropic,37401
cg10,sternocleidomastoid,0.28492383488983164,0.1193326967800972,0.04080975880035407,0.19937762843071655,13.778247957371297,0.15276141862312362,1.724,pca,45844
earlobe_ipsi,masseter,0.27853506923773264,0.1329773263511192,0.0901236831209977,0.17223798880973754,5.625800275364962,,,isotropic,32633
earlobe_ipsi,temporalis,0.2120498815645207,0.10341405032074535,0.04231707989520385,0.17372235594787952,12.266800380512095,,,isotropic,200000
earlobe_ipsi,medial_pterygoid,0.2893716140390579,0.1339702306300914,0.07269513480727302,0.18271338184982347,8.005300196178942,0.17726820738222746,2.536,pca,18993
earlobe_ipsi,lateral_pterygoid,0.23405426819748704,0.11198739586010403,0.051313992973003035,0.21039930286239697,12.256169722216654,,,isotropic,16134
earlobe_ipsi,orbicularis_oris,0.24438531249947543,0.1153356757164645,0.03065788780860031,0.2095547693373971,16.695106379123146,,,isotropic,25336
earlobe_ipsi,buccinator,0.30661007929608214,0.14338003645987116,0.03213215814425458,0.26380260559348884,18.286783700544923,,,isotropic,17789
earlobe_ipsi,mentalis,0.12685183076015824,0.06628430488837969,0.011326289102104148,0.1087367607520988,19.645774971249384,0.10470278770515996,2.174,pca,3226
earlobe_ipsi,depressor_anguli_oris,0.2220564789170283,0.11540806170694907,0.034094236753172844,0.1586921582583927,13.357489882092938,,,isotropic,13347
earlobe_ipsi,platysma,0.24087911015560518,0.10221989165730214,0.03383371395242491,0.1981319822338684,15.352098225351305,,,isotropic,37401
earlobe_ipsi,sternocleidomastoid,0.30452234533762074,0.12638767033344028,0.041912701578390096,0.21581769386814253,14.234827847517575,0.16097866450661555,1.724,pca,45844
hyoid,masseter,0.21753315544617172,0.11147368707973067,0.030906170722895136,0.17515030356139252,15.067313901532554,,,isotropic,32633
hyoid,temporalis,0.10773241080167187,0.049216525308161244,0.013435594605489938,0.08137305041582582,15.644474105780473,,,isotropic,200000
hyoid,medial_pterygoid,0.37273639805695197,0.15925356990174472,0.053604205841995205,0.329072916576472,15.761865482947552,0.10103155421126583,2.536,pca,18993
hyoid,lateral_pterygoid,0.18623956350799217,0.08903996014418762,0.02872507285971331,0.13559777165085146,13.479828273463582,,,isotropic,16134
hyoid,orbicularis_oris,0.24384199957846173,0.10160175142433103,0.039966989679756315,0.20849515958801312,14.347890770206085,,,isotropic,25336
hyoid,buccinator,0.3245558512697266,0.14904171358939133,0.052636248492686055,0.2813574980094756,14.559471295951283,,,isotropic,17789
hyoid,mentalis,0.35314772800146765,0.16196878245255064,0.034850651044776325,0.343202950881661,19.86680235446602,0.06555364713601315,2.174,pca,3226
hyoid,depressor_anguli_oris,0.539748211351476,0.21928720688163816,0.06846476137774375,0.4810484493640965,16.934434404472306,,,isotropic,13347
hyoid,platysma,0.7012828075098441,0.344827024563671,0.223865011581908,0.42914500849318604,5.652356871356509,,,isotropic,37401
hyoid,sternocleidomastoid,0.2614722217807565,0.11275710820581947,0.03712596819039855,0.19495951499570777,14.405332950888559,0.08630200845306094,1.724,pca,45844
mastoid,masseter,0.21744698062082762,0.098148466081733,0.04789359955848836,0.14299489808283739,9.500861276560505,,,isotropic,32633
mastoid,temporalis,0.19282824137060103,0.09459483223896434,0.03140018598779896,0.15388561490804745,13.80531607586744,,,isotropic,200000
mastoid,medial_pterygoid,0.2324142795204711,0.10809653477710962,0.056301254425986304,0.14468434230334637,8.198069262781308,0.14347033746472096,2.536,pca,18993
mastoid,lateral_pterygoid,0.18174178412623998,0.09024018474959634,0.03665752003873523,0.16194178950097107,12.903917067782508,,,isotropic,16134
mastoid,orbicularis_oris,0.1852278138847749,0.08483473206319281,0.02431793684253153,0.160462533796883,16.38893838974142,,,isotropic,25336
mastoid,buccinator,0.22448443051618971,0.10475044422840701,0.023416168834739126,0.19504110104478303,18.412205983604927,,,isotropic,17789
mastoid,mentalis,0.09260432571228892,0.04854245344496964,0.00834776166495062,0.07945393484925123,19.5709073759769,0.07686048449123671,2.174,pca,3226
mastoid,depressor_anguli_oris,0.15857609790234753,0.0840520384963529,0.025695030840314517,0.1140728327035056,12.94666165958818,,,isotropic,13347
mastoid,platysma,0.17900545973786983,0.07697271221147696,0.03266273030759917,0.14651055846432237,13.036328775875782,,,isotropic,37401
mastoid,sternocleidomastoid,0.2598868371703979,0.11497016482007155,0.03408568267518534,0.1892714184857205,14.890260807500272,0.1314320875898224,1.724,pca,45844
mental,masseter,0.39021813401686156,0.17136681453635674,0.0663367130883763,0.329956129361248,13.93404502908567,,,isotropic,32633
mental,temporalis,0.14095886885967807,0.06847417842873801,0.017621221805051247,0.09693467326854696,14.808862658765259,,,isotropic,200000
mental,medial_pterygoid,0.29010210421092897,0.13026896324695647,0.046782956800121456,0.2451518690424375,14.386950836475487,0.12215120049524074,2.536,pca,18993
mental,lateral_pterygoid,0.2006606239991644,0.0866983976989869,0.02094139797422355,0.16757201067927477,18.06391620920833,,,isotropic,16134
mental,orbicularis_oris,0.8775622882420819,0.3476249283488664,0.13615215930562594,0.7049559906499413,14.282749441122476,,,isotropic,25336
mental,buccinator,1.0987588729378897,0.48202862613675135,0.11112360584597764,1.0072838413691285,19.146910835668777,,,isotropic,17789
mental,mentalis,1.9230256903943765,0.893409499833611,0.16214666226168123,1.7241375370898433,20.533277878421398,0.8564981881091023,2.174,pca,3226
mental,depressor_anguli_oris,1.4303742199598646,0.6331976472814373,0.2676931324751714,1.1890451053007023,12.951221994904651,,,isotropic,13347
mental,platysma,0.7434099223353668,0.33318685984099305,0.12971615649126572,0.660436236734885,14.136736441575126,,,isotropic,37401
mental,sternocleidomastoid,0.17875878156657066,0.0788725492448426,0.025938694631066288,0.13935571064275856,14.603533079239844,0.06546662192989627,1.724,pca,45844
midjaw,masseter,0.33896804448789136,0.1503204471496311,0.058908774711958836,0.29616242552718286,14.026999372412268,,,isotropic,32633
midjaw,temporalis,0.22369651366124782,0.10644926162227275,0.03294967768437161,0.16758678159867302,14.127771800524032,,,isotropic,200000
