electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
midjaw,mentalis,iso,truncated,0.1073118447689867,-18.4081
midjaw,depressor_anguli_oris,iso,truncated,0.1674444222211791,-11.5534
midjaw,platysma,iso,truncated,0.1431241468962033,-7.6378
midjaw,sternocleidomastoid,iso,truncated,0.1043262532576115,-0.675
post_lobule,masseter,iso,truncated,0.1260371628350041,-2.6686
post_lobule,temporalis,iso,truncated,0.0919422028863013,-1.2726
post_lobule,medial_pterygoid,iso,truncated,0.1256826847915302,-2.0563
post_lobule,lateral_pterygoid,iso,truncated,0.0963203668001796,-0.6768
post_lobule,orbicularis_oris,iso,truncated,0.10290688306469,-10.5733
post_lobule,buccinator,iso,truncated,0.1272491313552712,-11.5684
post_lobule,mentalis,iso,truncated,0.0601485588961705,-23.4365
post_lobule,depressor_anguli_oris,iso,truncated,0.1041720058041528,-15.6758
post_lobule,platysma,iso,truncated,0.0972570544959474,-10.9936
post_lobule,sternocleidomastoid,iso,truncated,0.1461718243740197,2.2544
pre_tragus,masseter,iso,truncated,0.1429885992485624,-1.5725
pre_tragus,temporalis,iso,truncated,0.1257348045136093,1.4463
pre_tragus,medial_pterygoid,iso,truncated,0.1279816301632392,-1.8988
pre_tragus,lateral_pterygoid,iso,truncated,0.120332108775687,1.2565
pre_tragus,orbicularis_oris,iso,truncated,0.115453583592559,-9.5741
pre_tragus,buccinator,iso,truncated,0.1337570815528991,-11.1351
pre_tragus,mentalis,iso,truncated,0.0617997416363169,-23.2013
pre_tragus,depressor_anguli_oris,iso,truncated,0.1057634748057001,-15.5441
pre_tragus,platysma,iso,truncated,0.0879861444423182,-11.8637
pre_tragus,sternocleidomastoid,iso,truncated,0.0806642467881915,-2.9093
submaxillary,masseter,iso,truncated,0.1478827861310411,-1.2802
submaxillary,temporalis,iso,truncated,0.0650354580456545,-4.2798
submaxillary,medial_pterygoid,iso,truncated,0.1412955834118077,-1.0392
submaxillary,lateral_pterygoid,iso,truncated,0.0860891232001092,-1.6522
submaxillary,orbicularis_oris,iso,truncated,0.2133550039738448,-4.2402
submaxillary,buccinator,iso,truncated,0.2856892821488923,-4.5436
submaxillary,mentalis,iso,truncated,0.2700621765269893,-10.3917
submaxillary,depressor_anguli_oris,iso,truncated,0.3497420512182714,-5.1558
submaxillary,platysma,iso,truncated,0.3106474825585998,-0.9067
submaxillary,sternocleidomastoid,iso,truncated,0.0994680413327059,-1.0892
submental_lat,masseter,iso,truncated,0.1504675878949541,-1.1297
submental_lat,temporalis,iso,truncated,0.0609839863435868,-4.8385
submental_lat,medial_pterygoid,iso,truncated,0.1334827865319222,-1.5333
submental_lat,lateral_pterygoid,iso,truncated,0.0843439018087991,-1.83
submental_lat,orbicularis_oris,iso,truncated,0.2678653726753024,-2.2639
submental_lat,buccinator,iso,truncated,0.3852119707086971,-1.9475
submental_lat,mentalis,iso,truncated,0.6191963380716274,-3.1844
submental_lat,depressor_anguli_oris,iso,truncated,0.5484860474806043,-1.2475
submental_lat,platysma,iso,truncated,0.3296910840980884,-0.3899
submental_lat,sternocleidomastoid,iso,truncated,0.0818430709796381,-2.7832
submental_mid,masseter,iso,truncated,0.148229092036258,-1.2599
submental_mid,temporalis,iso,truncated,0.0596306188892329,-5.0335
submental_mid,medial_pterygoid,iso,truncated,0.133359237546053,-1.5413
submental_mid,lateral_pterygoid,iso,truncated,0.0850707515166178,-1.7555
submental_mid,orbicularis_oris,iso,truncated,0.2679094889902632,-2.2625
submental_mid,buccinator,iso,truncated,0.4000535513328846,-1.6191
submental_mid,mentalis,iso,truncated,0.7953469465851835,-1.0099
submental_mid,depressor_anguli_oris,iso,truncated,0.5911844133426425,-0.5963
submental_mid,platysma,iso,truncated,0.339410162804677,-0.1375
submental_mid,sternocleidomastoid,iso,truncated,0.0789696988252001,-3.0937
above_ear,masseter,aniso,truncated,0.1049579776516297,-4.2582
above_ear,temporalis,aniso,truncated,0.1365344906931935,2.162
above_ear,medial_pterygoid,aniso,truncated,0.1787892300501114,1.005
above_ear,lateral_pterygoid,aniso,truncated,0.09621589813583,-0.6862
above_ear,orbicularis_oris,aniso,truncated,0.0849298189356494,-12.241
above_ear,buccinator,aniso,truncated,0.1033907616441645,-13.3718
above_ear,mentalis,aniso,truncated,0.0457361110092123,-25.8158
above_ear,depressor_anguli_oris,aniso,truncated,0.0792802030185123,-18.0475
above_ear,platysma,aniso,truncated,0.0662758646297702,-14.3249
above_ear,sternocleidomastoid,aniso,truncated,0.13573626400736,1.611
buccal,masseter,aniso,truncated,0.1624963585392788,-0.4617
buccal,temporalis,aniso,truncated,0.0728536845407268,-3.2938
buccal,medial_pterygoid,aniso,truncated,0.2217044926608092,2.8737
buccal,lateral_pterygoid,aniso,truncated,0.0790850950309862,-2.3892
buccal,orbicularis_oris,aniso,truncated,0.2609380228297887,-2.4915
buccal,buccinator,aniso,truncated,0.2960819261896247,-4.2332
buccal,mentalis,aniso,truncated,0.2802380570044207,-10.0705
buccal,depressor_anguli_oris,aniso,truncated,0.2958047158710548,-6.6107
buccal,platysma,aniso,truncated,0.2516440217181841,-2.7363
buccal,sternocleidomastoid,aniso,truncated,0.1573078891930444,2.8921
cg01,masseter,aniso,truncated,0.1245098988696631,-2.7745
cg01,temporalis,aniso,truncated,0.1587126712471042,3.4694
cg01,medial_pterygoid,aniso,truncated,0.1989056605166785,1.9312
cg01,lateral_pterygoid,aniso,truncated,0.1095065089314652,0.4377
cg01,orbicularis_oris,aniso,truncated,0.0979348612268846,-11.0035
cg01,buccinator,aniso,truncated,0.1181021774435697,-12.2163
cg01,mentalis,aniso,truncated,0.0523665189507366,-24.6399
cg01,depressor_anguli_oris,aniso,truncated,0.0904312736861721,-16.9044
cg01,platysma,aniso,truncated,0.0739465952131894,-13.3737
cg01,sternocleidomastoid,aniso,truncated,0.1442723030244625,2.1408
cg02,masseter,aniso,truncated,0.104364427972082,-4.3075
cg02,temporalis,aniso,truncated,0.1383580206241166,2.2772
cg02,medial_pterygoid,aniso,truncated,0.1790685553308622,1.0186
cg02,lateral_pterygoid,aniso,truncated,0.0951844980235487,-0.7798
cg02,orbicularis_oris,aniso,truncated,0.085045707048441,-12.2292
cg02,buccinator,aniso,truncated,0.1030174696325284,-13.4032
cg02,mentalis,aniso,truncated,0.0461926074143592,-25.7296
cg02,depressor_anguli_oris,aniso,truncated,0.0794866736089248,-18.0249
cg02,platysma,aniso,truncated,0.0658065310104682,-14.3866
cg02,sternocleidomastoid,aniso,truncated,0.1361919066181671,1.6401
cg03,masseter,aniso,truncated,0.0941665752176553,-5.2006
cg03,temporalis,aniso,truncated,0.1323339887823028,1.8906
cg03,medial_pterygoid,aniso,truncated,0.1778432134399434,0.959
cg03,lateral_pterygoid,aniso,truncated,0.0889954012466058,-1.3638
cg03,orbicularis_oris,aniso,truncated,0.0818944256816401,-12.5571
cg03,buccinator,aniso,truncated,0.0993714602690954,-13.7162
cg03,mentalis,aniso,truncated,0.0443921346956471,-26.0749
cg03,depressor_anguli_oris,aniso,truncated,0.0766585510503626,-18.3396
cg03,platysma,aniso,truncated,0.0649740801125107,-14.4972
cg03,sternocleidomastoid,aniso,truncated,0.1426712426611868,2.0439
cg04,masseter,aniso,truncated,0.0948570231221853,-5.1371
cg04,temporalis,aniso,truncated,0.1254882513577605,1.4292
cg04,medial_pterygoid,aniso,truncated,0.1932500597525615,1.6806
cg04,lateral_pterygoid,aniso,truncated,0.0911756767899647,-1.1535
cg04,orbicularis_oris,aniso,truncated,0.0860718081261009,-12.125
cg04,buccinator,aniso,truncated,0.105101965158513,-13.2292
cg04,mentalis,aniso,truncated,0.0476094122221905,-25.4672
